DepartmentLink;Department;CourseLink;CourseIdReadeble;Name;Professor Name;Date;CourseId;DateId;AudioUrlPattern;IsAvailable
/african-american-studies;African American Studies;/african-american-studies/afam-162;AFAM 162;African American History: From Emancipation to the Present;Jonathan Holloway          ;Spring 2010          ;afam162;spring10;/courses/spring10/afam162/mp3/{0}.mp3;FALSE
/american-studies;American Studies;/american-studies/amst-246;AMST 246;Hemingway, Fitzgerald, Faulkner;Wai Chee Dimock          ;Fall 2011          ;amst246;fall11;/courses/fall11/amst246/mp3/{0}.mp3;FALSE
/astronomy;Astronomy;/astronomy/astr-160;ASTR 160;Frontiers and Controversies in Astrophysics;Charles Bailyn          ;Spring 2007          ;astr160;spring07;/courses/spring07/astr160/mp3/{0}.mp3;FALSE
/biomedical-engineering;Biomedical Engineering;/biomedical-engineering/beng-100;BENG 100;Frontiers of Biomedical Engineering;W. Mark Saltzman          ;Spring 2008          ;beng100;spring08;/courses/spring08/beng100/mp3/{0}.mp3;FALSE
/chemistry;Chemistry;/chemistry/chem-125a;CHEM 125a;Freshman Organic Chemistry I;J. Michael McBride          ;Fall 2008          ;chem125a;fall08;/courses/fall08/chem125a/mp3/{0}.mp3;FALSE
/chemistry;Chemistry;/chemistry/chem-125b;CHEM 125b;Freshman Organic Chemistry II;J. Michael McBride          ;Spring 2011          ;chem125b;spring11;/courses/spring11/chem125b/mp3/{0}.mp3;FALSE
/classics;Classics;/classics/clcv-205;CLCV 205;Introduction to Ancient Greek History;Donald Kagan          ;Fall 2007          ;clcv205;fall07;/courses/fall07/clcv205/mp3/{0}.mp3;FALSE
/ecology-and-evolutionary-biology;Ecology and Evolutionary Biology;/ecology-and-evolutionary-biology/eeb-122;EEB 122;Principles of Evolution, Ecology and Behavior;Stephen C. Stearns          ;Spring 2009          ;eeb122;spring09;/courses/spring09/eeb122/mp3/{0}.mp3;FALSE
/economics;Economics;/economics/econ-252-08;ECON 252;Financial Markets (2008);Robert J. Shiller          ;Spring 2008          ;econ25208;spring08;/courses/spring08/econ25208/mp3/{0}.mp3;FALSE
/economics;Economics;/economics/econ-252;ECON 252;Financial Markets (2011);Robert J. Shiller          ;Spring 2011          ;econ252;spring11;/courses/spring11/econ252/mp3/{0}.mp3;FALSE
/economics;Economics;/economics/econ-251;ECON 251;Financial Theory;John Geanakoplos          ;Fall 2009          ;econ251;fall09;/courses/fall09/econ251/mp3/{0}.mp3;FALSE
/economics;Economics;/economics/econ-159;ECON 159;Game Theory;Ben Polak          ;Fall 2007          ;econ159;fall07;/courses/fall07/econ159/mp3/{0}.mp3;FALSE
/english;English;/english/engl-300;ENGL 300;Introduction to Theory of Literature;Paul H. Fry          ;Spring 2009          ;engl300;spring09;/courses/spring09/engl300/mp3/{0}.mp3;FALSE
/english;English;/english/engl-220;ENGL 220;Milton;John Rogers          ;Fall 2007          ;engl220;fall07;/courses/fall07/engl220/mp3/{0}.mp3;FALSE
/english;English;/english/engl-310;ENGL 310;Modern Poetry;Langdon Hammer          ;Spring 2007          ;engl310;spring07;/courses/spring07/engl310/mp3/{0}.mp3;FALSE
/english;English;/english/engl-291;ENGL 291;The American Novel Since 1945;Amy Hungerford          ;Spring 2008          ;engl291;spring08;/courses/spring08/engl291/mp3/{0}.mp3;FALSE
/environmental-studies;Environmental Studies;/environmental-studies/evst-255;EVST 255;Environmental Politics and Law;John Wargo          ;Spring 2010          ;evst255;spring10;/courses/spring10/evst255/mp3/{0}.mp3;FALSE
